login,has_copilot
ace-ahuss1,false
ace-aleon,false
ace-amill2,false
ace-bcorn,false
ace-bgill,false
ace-bmill1,false
ace-colin,false
ace-cvalla,false
ace-dgupt,false
ace-dharp,false
ace-esajt,false
ace-gnava,false
ace-irehm,false
ace-jcox,false
ace-jlevy,false
ace-jprui,false
ace-lharr,false
ace-pkumar,false
ace-rhamil,false
ace-rmorri,false
ace-rtara,false
ace-sklau,false
ace-wshaf,false
AceHdw-GitHub,false
cts-jsund,false
cts-nkuma,false
cts-psumi,false
cts-rnara,false
cts-vignes,false
cts-vrama,false
fus-awajah,false
fus-rvarn,false
fus-skudi,false
fus-vbaig,false
htc-kbrow,false
tcs-eahra,false
tcs-mmani,false
tcs-vsrid,false
